Date,Ticker,Type
5/21/21,ANVS,1
8/9/21,VRTV,1
2/4/21,GOOS,1
5/6/20,GOOS,1
11/5/21,EXPE,1
7/9/21,MXL,1
10/28/21,MXL,1
11/8/21,TTD,1
11/4/20,TTD,1
7/16/21,AEHR,1
11/9/21,RBLX,1
5/6/21,AVID,1
5/7/20,TWLO,1
5/6/20,MELI,1
7/29/21,LC,1
9/1/21,AMBA,1
10/26/21,PERI,1
6/18/21,SWBI,1
7/30/21,TEAM,1
10/27/21,ENPH,1
10/27/21,SLAB,1
1/12/17,AAOI,1
3/28/18,LULU,1
2/25/21,STXS,1
11/12/21,MRAM,1
11/11/21,BW,1
5/7/20,FSLY,1
8/4/21,EXPI,1
10/24/19,TSLA,1
8/2/21,ON,1
11/1/21,ON,1
11/4/21,QCOM,1
9/2/21,ASAN,1
5/14/21,DDS,1
11/12/20,CELH,1
11/12/21,CREX,1
10/26/21,NVDA,1
2/9/22,BE,1
8/11/21,TASK,1
2/27/19,SE,1
11/16/21,ONON,1
11/10/20,AFMD,1
11/18/21,RCUS,1
4/27/21,CROX,1
1/29/21,NVAX,1
11/3/14,ANIP,1
7/25/13,FB,1
1/24/13,NFLX,1
8/24/21,PANW,1
11/24/21,PSTG,1
10/28/21,SYNA,1
12/1/21,BBW,1
